original_message,property_type,area_sqft,price,price_unit,rent,rent_unit,location,furnishing,transaction_type,contact,is_real_estate,price_lakhs,rent_thousands,bhk_number,price_category,rent_category
"2BHK in Kandivali. 920 sqft, 46k rent. 6th floor, park view. Family preferred. Contact: 9812387987",2,920.0,,,46000.0,K,Kandivali,,rent,9812387987,True,,46.0,2.0,,40-60k
"3BHK in Juhu. 2600 sqft, 4.2Cr sale. Beach facing, premium finishes. Exclusive location. Call: 9823487987",3,2600.0,42000000.0,CR,,,Juhu,,sale,9823487987,True,420.0,,3.0,2-5Cr,
"Commercial in Lower Parel. 1700 sqft, 1.1L rent. Premium building, all facilities. Corporate standards. WhatsApp: 9876587987",,1700.0,,,110000.00000000001,L,Lower Parel,,rent,9876587987,True,,110.00000000000001,,,1L+
"2BHK in Malad. 960 sqft, 1.06Cr. 8 years old, good condition. Loan available. Contact: 9898787987",2,960.0,10600000.0,CR,,,Malad,,sale,9898787987,True,106.0,,2.0,1-2Cr,
"3BHK in Andheri. 1440 sqft, 77k rent. Fully furnished, modern appliances. Family only. Call: 9811187987",3,1440.0,,,77000.0,K,Andheri,,rent,9811187987,True,,77.0,3.0,,60k-1L
"1BHK in Thane. 700 sqft, 78L. Under construction, possession 7 months. RERA approved. Booking: 9822287987",1,700.0,,,,,Thane,,,9822287987,True,,,1.0,,
"Warehouse in Bhiwandi. 8000 sqft, 3L rent. G+3, heavy power, security. Industrial zone. Owner: 9833387987",,8000.0,,,300000.0,L,Bhiwandi,,rent,9833387987,True,,300.0,,,1L+
"4BHK in Worli. 3500 sqft, 9.6Cr. Sea facing, luxury amenities, 4 parking. Ultra premium. Agent: 9844487987",4,3500.0,96000000.0,CR,,,Worli,,sale,9844487987,True,960.0,,4.0,5Cr+,
"Retail in Bandra. 500 sqft, 88k rent. High street, good footfall. Established location. WhatsApp: 9855587987",,500.0,,,88000.0,K,Bandra,,rent,9855587987,True,,88.0,,,60k-1L
"2BHK in Goregaon. 990 sqft, 56k rent. 5th floor, corner flat. Good society. Contact: 9866687987",2,990.0,,,56000.0,K,Goregaon,,rent,9866687987,True,,56.0,2.0,,40-60k
"3BHK in Chembur. 1320 sqft, 1.68Cr sale. Ready to move, well maintained. Near highway. Call: 9877787987",3,1320.0,16800000.0,CR,,,Chembur,,sale,9877787987,True,168.0,,3.0,1-2Cr,
"1BHK in Borivali. 680 sqft, 39k rent. 4th floor, renovated. Good for family. WhatsApp: 9888887987",1,680.0,,,39000.0,K,Borivali,,rent,9888887987,True,,39.0,1.0,,20-40k
"3BHK service in South Mumbai. 2000 sqft, 1.75L rent. All inclusive, premium service. Minimum 1 year: 9899987987",3,2000.0,,,175000.0,L,,,rent,9899987987,True,,175.0,3.0,,1L+
"1RK PG in Andheri. 380 sqft, 19k with food. AC, attached bath, Wi-Fi. Professionals only. Contact: 9812398987",1,380.0,,,,,Andheri,,,9812398987,True,,,1.0,,
"2BHK auction in Panvel. 1120 sqft, 98L. Bank property, clear title. Good investment. WhatsApp: 9876598987",2,1120.0,,,,,,,,9876598987,True,,,2.0,,
"3BHK in Seawoods. 1820 sqft, 3.25Cr. High floor, sea view, premium amenities. Ready: 9898798987",3,1820.0,32500000.0,CR,,,Seawoods,,sale,9898798987,True,325.0,,3.0,2-5Cr,
"Shop in Vashi. 620 sqft, 84k rent. Prime location, good visibility. Established market. Contact: 9811198987",,620.0,,,84000.0,K,Vashi,,rent,9811198987,True,,84.0,,,60k-1L
"1BHK in Santacruz. 580 sqft, 41k rent. 6th floor, semi-furnished. Near airport. Call: 9822298987",1,580.0,,,41000.0,K,Santacruz,,rent,9822298987,True,,41.0,1.0,,40-60k
"2BHK in Vile Parle. 860 sqft, 52k rent. 3rd floor, separate entrance. Good for office. WhatsApp: 9833398987",2,860.0,,,52000.0,K,Vile Parle,,rent,9833398987,True,,52.0,2.0,,40-60k
"3BHK in Bandra. 1800 sqft, 2.55Cr sale. Renovated, modern kitchen, 3 bathrooms. Premium: 9844498987",3,1800.0,25500000.0,CR,,,Bandra,,sale,9844498987,True,255.0,,3.0,2-5Cr,
"Office in Andheri. 1450 sqft, 98k rent. IT park, modern facilities. Suitable for IT company. Contact: 9855598987",,1450.0,,,98000.0,K,Andheri,,rent,9855598987,True,,98.0,,,60k-1L
"4BHK in Powai. 3050 sqft, 6.1Cr. Luxury apartment, all amenities. Premium society. Call: 9866698987",4,3050.0,61000000.0,CR,,,Powai,,sale,9866698987,True,610.0,,4.0,5Cr+,
"1RK in Lokhandwala. 480 sqft, 26k rent. Fully furnished, all utilities. Good for professionals. WhatsApp: 9877798987 [12/01/202",1,480.0,,,26000.0,K,Lokhandwala,,rent,9877798987,True,,26.0,1.0,,20-40k
"2BHK available for rent in Andheri East. 1100 sqft, semi-furnished, 65k rent. Near metro station. Contact: 9812312345",2,1100.0,,,65000.0,K,Andheri,,rent,9812312345,True,,65.0,2.0,,60k-1L
"3BHK luxury flat for sale in Powai. 1850 sqft, 4.2 Cr. Sea facing, clubhouse, 3 parking. Call 9823412345 for site visit.",3,1850.0,42000000.0,CR,,,Powai,,sale,9823412345,True,420.0,,3.0,2-5Cr,
"1RK studio apartment available in Lokhandwala. 450 sqft, fully furnished, 25k rent. Ideal for bachelors. WhatsApp for pics: 9876543210",1,450.0,,,25000.0,K,Lokhandwala,,rent,9876543210,True,,25.0,1.0,,20-40k
"Shop space available in Bandra West. 800 sqft, 1.5L rent. Main road, good footfall. Immediate possession. Contact: 9898765432",,800.0,,,150000.0,L,Bandra,,rent,9898765432,True,,150.0,,,1L+
"2BHK ready to move flat in Malad West. 1200 sqft, 1.8Cr. 2nd floor, park facing. No brokerage. Serious buyers only: 9811122233",2,1200.0,18000000.0,CR,,,Malad,,sale,9811122233,True,180.0,,2.0,1-2Cr,
"3BHK duplex for rent in Juhu. 2200 sqft, 1.2L rent. 3 bathrooms, modular kitchen. Available from next month. Call 9822233344",3,2200.0,,,120000.0,L,Juhu,,rent,9822233344,True,,120.0,3.0,,1L+
"1BHK budget flat in Kandivali East. 650 sqft, 42k rent. Near station, market area. Security deposit 2 months. Contact: 9833344455",1,650.0,,,42000.0,K,Kandivali,,rent,9833344455,True,,42.0,1.0,,40-60k
"4BHK penthouse for sale in Worli. 3200 sqft, 8.5Cr. Private terrace, sea view, 4 parking. Premium location. Agent: 9844455566",4,3200.0,85000000.0,CR,,,Worli,,sale,9844455566,True,850.0,,4.0,5Cr+,
"Commercial office available in Lower Parel. 1500 sqft, 90k rent. IT park, 24/7 security. Ideal for startup. Call 9855566677",,1500.0,,,90000.0,K,Lower Parel,,rent,9855566677,True,,90.0,,,60k-1L
"2BHK resale flat in Goregaon East. 950 sqft, 1.1Cr. 5 years old, good condition. Loan available. Contact: 9866677788",2,950.0,11000000.0,CR,,,Goregaon,,sale,9866677788,True,110.0,,2.0,1-2Cr,
"3BHK furnished flat for rent in Chembur. 1400 sqft, 55k. All appliances included. Family preferred. No pets. WhatsApp: 9877788899",3,1400.0,,,,,Chembur,,,9877788899,True,,,3.0,,
"1BHK new construction in Thane. 700 sqft, 85L. Possession in 6 months. Project approved. Booking amount 10%. Builder direct: 9888899900",1,700.0,,,,,Thane,,,9888899900,True,,,1.0,,
"Industrial space available in Bhiwandi. 5000 sqft, 2L rent. 30ft height, loading dock. Industrial area. Owner: 9899900011",,5000.0,,,200000.0,L,Bhiwandi,,rent,9899900011,True,,200.0,,,1L+
"2BHK corner flat in Borivali West. 1100 sqft, 1.4Cr. 5th floor, 2 balconies. Vaastu compliant. Quick deal: 9812312312",2,1100.0,14000000.0,CR,,,Borivali,,sale,9812312312,True,140.0,,2.0,1-2Cr,
"3BHK service apartment for rent in South Mumbai. 1800 sqft, 1.5L. All utilities included, housekeeping. Minimum 1 year lease: 9823423423",3,1800.0,,,,,,,,9823423423,True,,,3.0,,
"1RK paying guest accommodation in Andheri West. 300 sqft, 15k including food. Separate entrance, attached bathroom. Girls only. Call 9834534534",1,300.0,,,,,Andheri,,,9834534534,True,,,1.0,,
"Farmhouse for sale on Mumbai-Pune highway. 2 acre, 3.5Cr. 3 bedrooms, swimming pool. Good for weekend home. Agent: 9845645645",,,35000000.0,CR,,,,,sale,9845645645,True,350.0,,,2-5Cr,
"2BHK bank auction property in Navi Mumbai. 1000 sqft, 85L. As-is condition. Clear title. Auction date: 25th March. Contact: 9856756756",2,1000.0,,,,,Navi Mumbai,,,9856756756,True,,,2.0,,
"3BHK premium flat in Seawoods. 1650 sqft, 2.8Cr. West facing, 3 bathrooms, wooden flooring. Ready to move. Owner: 9867867867",3,1650.0,28000000.0,CR,,,Seawoods,,sale,9867867867,True,280.0,,3.0,2-5Cr,
"Commercial shop in mall, Vashi. 600 sqft, 75k rent. Ground floor, high visibility. Food court location. Investment opportunity: 9878978978",,600.0,,,75000.0,K,Vashi,,rent,9878978978,True,,75.0,,,60k-1L
"2BHK available for rent in Andheri East. 1100 sqft, semi-furnished, 65k rent. Near metro station. Contact: 9812312345",2,1100.0,,,65000.0,K,Andheri,,rent,9812312345,True,,65.0,2.0,,60k-1L
"3BHK luxury flat for sale in Powai. 1850 sqft, 4.2 Cr. Sea facing, clubhouse, 3 parking. Call 9823412345",3,1850.0,42000000.0,CR,,,Powai,,sale,9823412345,True,420.0,,3.0,2-5Cr,
"1RK studio apartment in Lokhandwala. 450 sqft, fully furnished, 25k rent. Ideal for bachelors. WhatsApp: 9876543210",1,450.0,,,25000.0,K,Lokhandwala,,rent,9876543210,True,,25.0,1.0,,20-40k
"Shop space in Bandra West. 800 sqft, 1.5L rent. Main road, good footfall. Immediate possession. Contact: 9898765432",,800.0,,,150000.0,L,Bandra,,rent,9898765432,True,,150.0,,,1L+
"2BHK ready to move flat in Malad West. 1200 sqft, 1.8Cr. 2nd floor, park facing. No brokerage. Serious buyers: 9811122233",2,1200.0,18000000.0,CR,,,Malad,,sale,9811122233,True,180.0,,2.0,1-2Cr,
"3BHK duplex for rent in Juhu. 2200 sqft, 1.2L rent. 3 bathrooms, modular kitchen. Available from next month. Call 9822233344",3,2200.0,,,120000.0,L,Juhu,,rent,9822233344,True,,120.0,3.0,,1L+
"1BHK budget flat in Kandivali East. 650 sqft, 42k rent. Near station, market area. Security deposit 2 months. Contact: 9833344455",1,650.0,,,42000.0,K,Kandivali,,rent,9833344455,True,,42.0,1.0,,40-60k
"4BHK penthouse for sale in Worli. 3200 sqft, 8.5Cr. Private terrace, sea view, 4 parking. Premium location. Agent: 9844455566",4,3200.0,85000000.0,CR,,,Worli,,sale,9844455566,True,850.0,,4.0,5Cr+,
"Commercial office in Lower Parel. 1500 sqft, 90k rent. IT park, 24/7 security. Ideal for startup. Call 9855566677",,1500.0,,,90000.0,K,Lower Parel,,rent,9855566677,True,,90.0,,,60k-1L
"2BHK resale flat in Goregaon East. 950 sqft, 1.1Cr. 5 years old, good condition. Loan available. Contact: 9866677788",2,950.0,11000000.0,CR,,,Goregaon,,sale,9866677788,True,110.0,,2.0,1-2Cr,
"3BHK furnished flat in Chembur. 1400 sqft, 55k rent. All appliances included. Family preferred. No pets. WhatsApp: 9877788899",3,1400.0,,,55000.0,K,Chembur,,rent,9877788899,True,,55.0,3.0,,40-60k
"1BHK new construction in Thane. 700 sqft, 85L. Possession in 6 months. Project approved. Booking amount 10%. Builder: 9888899900",1,700.0,,,,,Thane,,,9888899900,True,,,1.0,,
"Industrial space in Bhiwandi. 5000 sqft, 2L rent. 30ft height, loading dock. Industrial area. Owner: 9899900011",,5000.0,,,200000.0,L,Bhiwandi,,rent,9899900011,True,,200.0,,,1L+
"2BHK corner flat in Borivali West. 1100 sqft, 1.4Cr. 5th floor, 2 balconies. Vaastu compliant. Quick deal: 9812312312",2,1100.0,14000000.0,CR,,,Borivali,,sale,9812312312,True,140.0,,2.0,1-2Cr,
"3BHK service apartment in South Mumbai. 1800 sqft, 1.5L rent. All utilities included, housekeeping. Minimum 1 year: 9823423423",3,1800.0,,,150000.0,L,,,rent,9823423423,True,,150.0,3.0,,1L+
"1RK paying guest in Andheri West. 300 sqft, 15k including food. Separate entrance, attached bathroom. Girls only. Call 9834534534",1,300.0,,,,,Andheri,,,9834534534,True,,,1.0,,
"2BHK bank auction property in Navi Mumbai. 1000 sqft, 85L. As-is condition. Clear title. Auction date: 25th March. Contact: 9856756756",2,1000.0,,,,,Navi Mumbai,,,9856756756,True,,,2.0,,
"3BHK premium flat in Seawoods. 1650 sqft, 2.8Cr. West facing, 3 bathrooms, wooden flooring. Ready to move. Owner: 9867867867",3,1650.0,28000000.0,CR,,,Seawoods,,sale,9867867867,True,280.0,,3.0,2-5Cr,
"Commercial shop in mall, Vashi. 600 sqft, 75k rent. Ground floor, high visibility. Food court location. Investment: 9878978978",,600.0,,,75000.0,K,Vashi,,rent,9878978978,True,,75.0,,,60k-1L
"1BHK available in Santacruz East. 550 sqft, 35k rent. Near station, market. Good for couples. Contact: 9812387654",1,550.0,,,35000.0,K,Santacruz,,rent,9812387654,True,,35.0,1.0,,20-40k
"2BHK semi-furnished in Vile Parle. 850 sqft, 50k rent. 2nd floor, quiet society. Available immediately. Call: 9823478654",2,850.0,,,50000.0,K,Vile Parle,,rent,9823478654,True,,50.0,2.0,,40-60k
"3BHK luxury apartment in Bandra West. 1800 sqft, 2.1Cr sale. Sea view, modern amenities. Premium location. Contact: 9876598765",3,1800.0,21000000.0,CR,,,Bandra,,sale,9876598765,True,210.0,,3.0,2-5Cr,
"Office space in Andheri East. 1200 sqft, 80k rent. Near station, good connectivity. Ideal for corporate. WhatsApp: 9898787654",,1200.0,,,80000.0,K,Andheri,,rent,9898787654,True,,80.0,,,60k-1L
"4BHK villa in Powai. 2800 sqft, 5.5Cr. Private garden, 4 bathrooms, modular kitchen. Luxury living. Call: 9811198765",4,2800.0,55000000.0,CR,,,Powai,,sale,9811198765,True,550.0,,4.0,5Cr+,
"1RK studio in Lokhandwala. 400 sqft, 22k rent. Fully furnished, all utilities. Perfect for professionals. Contact: 9833398765",1,400.0,,,22000.0,K,Lokhandwala,,rent,9833398765,True,,22.0,1.0,,20-40k
"2BHK in Kandivali West. 900 sqft, 45k rent. 3rd floor, park facing. Family preferred. Security: 2 months. Call: 9844498765",2,900.0,,,45000.0,K,Kandivali,,rent,9844498765,True,,45.0,2.0,,40-60k
"3BHK duplex in Juhu. 2400 sqft, 3.8Cr sale. Private terrace, Jacuzzi, premium finishes. Exclusive location. Agent: 9855598765",3,2400.0,38000000.0,CR,,,Juhu,,sale,9855598765,True,380.0,,3.0,2-5Cr,
"Commercial space in Lower Parel. 2000 sqft, 1.2L rent. Premium building, 24/7 power backup. Corporate standards. Contact: 9866698765",,2000.0,,,120000.0,L,Lower Parel,,rent,9866698765,True,,120.0,,,1L+
"2BHK resale in Malad East. 950 sqft, 1Cr. 7 years old, well maintained. Loan available from all banks. WhatsApp: 9877798765",2,950.0,10000000.0,CR,,,Malad,,sale,9877798765,True,100.0,,2.0,1-2Cr,
"3BHK furnished in Andheri West. 1300 sqft, 70k rent. All modern appliances, modular kitchen. Family only. Call: 9888898765",3,1300.0,,,70000.0,K,Andheri,,rent,9888898765,True,,70.0,3.0,,60k-1L
"1BHK in Thane West. 650 sqft, 75L. Under construction, possession in 8 months. RERA approved. Booking: 10%. Builder: 9899998765",1,650.0,,,,,Thane,,,9899998765,True,,,1.0,,
"Warehouse in Bhiwandi. 8000 sqft, 3L rent. Heavy power, loading facility. Industrial zone. Owner direct: 9812319876",,8000.0,,,300000.0,L,Bhiwandi,,rent,9812319876,True,,300.0,,,1L+
"4BHK penthouse in Worli. 3500 sqft, 9Cr. Panoramic sea view, private pool, 4 parking. Ultra luxury. Agent: 9823419876",4,3500.0,90000000.0,CR,,,Worli,,sale,9823419876,True,900.0,,4.0,5Cr+,
"Retail shop in Bandra. 500 sqft, 90k rent. High street location, good footfall. Established market. Contact: 9876519876",,500.0,,,90000.0,K,Bandra,,rent,9876519876,True,,90.0,,,60k-1L
"2BHK in Goregaon West. 1000 sqft, 55k rent. 4th floor, corner flat. Society with amenities. Available: 9822219876",2,1000.0,,,55000.0,K,Goregaon,,rent,9822219876,True,,55.0,2.0,,40-60k
"3BHK in Chembur. 1200 sqft, 1.8Cr sale. Ready to move, good condition. Near highway. Contact: 9833319876",3,1200.0,18000000.0,CR,,,Chembur,,sale,9833319876,True,180.0,,3.0,1-2Cr,
"1BHK in Borivali East. 600 sqft, 38k rent. Ground floor, separate entrance. Good for office. WhatsApp: 9844419876",1,600.0,,,38000.0,K,Borivali,,rent,9844419876,True,,38.0,1.0,,20-40k
"3BHK service apartment in South Mumbai. 2000 sqft, 1.8L rent. All inclusive, daily housekeeping. Minimum 6 months: 9855519876",3,2000.0,,,180000.0,L,,,rent,9855519876,True,,180.0,3.0,,1L+
"1RK PG in Andheri. 350 sqft, 18k with food. AC room, attached bathroom. Working professionals preferred. Call: 9866619876",1,350.0,,,,,Andheri,,,9866619876,True,,,1.0,,
"2BHK auction in Panvel. 1100 sqft, 95L. Bank auction, clear title. Good investment opportunity. WhatsApp: 9888819876",2,1100.0,,,,,,,,9888819876,True,,,2.0,,
"3BHK in Seawoods. 1700 sqft, 3Cr. Premium location, high floor, sea view. Ready possession. Owner: 9899919876",3,1700.0,30000000.0,CR,,,Seawoods,,sale,9899919876,True,300.0,,3.0,2-5Cr,
"Commercial in Vashi mall. 700 sqft, 85k rent. First floor, good visibility. Established footfall. Investment: 9812321987",,700.0,,,85000.0,K,Vashi,,rent,9812321987,True,,85.0,,,60k-1L
"1BHK in Santacruz West. 500 sqft, 40k rent. 2nd floor, renovated. Near station. Contact: 9823421987",1,500.0,,,40000.0,K,Santacruz,,rent,9823421987,True,,40.0,1.0,,40-60k
"2BHK in Vile Parle West. 800 sqft, 52k rent. Semi-furnished, good locality. Family preferred. Call: 9876521987",2,800.0,,,52000.0,K,Vile Parle,,rent,9876521987,True,,52.0,2.0,,40-60k
"3BHK in Bandra East. 1600 sqft, 2.3Cr sale. Well maintained, modern amenities. Good connectivity. Contact: 9898721987",3,1600.0,23000000.0,CR,,,Bandra,,sale,9898721987,True,230.0,,3.0,2-5Cr,
"Office in Andheri West. 1400 sqft, 95k rent. IT park, fiber internet, parking. Ideal for IT company. WhatsApp: 9811121987",,1400.0,,,95000.0,K,Andheri,,rent,9811121987,True,,95.0,,,60k-1L
"4BHK in Powai. 3000 sqft, 6Cr. Luxury apartment, clubhouse, swimming pool. Premium society. Call: 9822221987",4,3000.0,60000000.0,CR,,,Powai,,sale,9822221987,True,600.0,,4.0,5Cr+,
"1RK in Lokhandwala. 380 sqft, 20k rent. Basic furniture, all utilities. Good for students. Contact: 9833321987",1,380.0,,,20000.0,K,Lokhandwala,,rent,9833321987,True,,20.0,1.0,,20-40k
"2BHK in Kandivali East. 850 sqft, 43k rent. 3rd floor, quiet area. Security: 2 months. Call: 9844421987",2,850.0,,,43000.0,K,Kandivali,,rent,9844421987,True,,43.0,2.0,,40-60k
"3BHK in Juhu. 2600 sqft, 4.2Cr sale. Beach facing, premium finishes, modern kitchen. Exclusive: 9855521987",3,2600.0,42000000.0,CR,,,Juhu,,sale,9855521987,True,420.0,,3.0,2-5Cr,
"Commercial in Lower Parel. 1800 sqft, 1.1L rent. Premium building, reception, meeting room. Corporate: 9866621987",,1800.0,,,110000.00000000001,L,Lower Parel,,rent,9866621987,True,,110.00000000000001,,,1L+
"2BHK in Malad West. 900 sqft, 1.05Cr. 5 years old, good condition. Loan available. Contact: 9877721987",2,900.0,10500000.0,CR,,,Malad,,sale,9877721987,True,105.0,,2.0,1-2Cr,
"3BHK in Andheri East. 1350 sqft, 72k rent. Fully furnished, all appliances. Family only. WhatsApp: 9888821987",3,1350.0,,,72000.0,K,Andheri,,rent,9888821987,True,,72.0,3.0,,60k-1L
"1BHK in Thane East. 680 sqft, 78L. Under construction, possession 10 months. RERA registered. Booking: 9899921987",1,680.0,,,,,Thane,,,9899921987,True,,,1.0,,
"Warehouse in Bhiwandi. 6000 sqft, 2.5L rent. G+2, heavy power, security. Industrial area. Owner: 9812332987",,6000.0,,,250000.0,L,Bhiwandi,,rent,9812332987,True,,250.0,,,1L+
"4BHK in Worli. 3300 sqft, 8.8Cr. Sea facing, private terrace, luxury amenities. Ultra premium. Agent: 9823432987",4,3300.0,88000000.0,CR,,,Worli,,sale,9823432987,True,880.0,,4.0,5Cr+,
"2BHK available in Goregaon East. 950 sqft, 53k rent. 2nd floor, corner location. Good society. Contact: 9876532987",2,950.0,,,53000.0,K,Goregaon,,rent,9876532987,True,,53.0,2.0,,40-60k
"3BHK in Chembur West. 1250 sqft, 1.75Cr sale. Ready to move, well maintained. Near station. Call: 9898732987",3,1250.0,17500000.0,CR,,,Chembur,,sale,9898732987,True,175.0,,3.0,1-2Cr,
"1BHK in Borivali West. 620 sqft, 36k rent. 1st floor, renovated. Good for family. WhatsApp: 9811132987",1,620.0,,,36000.0,K,Borivali,,rent,9811132987,True,,36.0,1.0,,20-40k
"3BHK service in South Mumbai. 1900 sqft, 1.65L rent. All inclusive, premium service. Minimum 1 year: 9822232987",3,1900.0,,,165000.0,L,,,rent,9822232987,True,,165.0,3.0,,1L+
"1RK PG in Andheri East. 320 sqft, 16k with food. AC, attached bath, Wi-Fi. Professionals only. Contact: 9833332987",1,320.0,,,,,Andheri,,,9833332987,True,,,1.0,,
"2BHK auction in Kharghar. 1050 sqft, 88L. Bank property, clear title. Good potential. WhatsApp: 9855532987",2,1050.0,,,,,,,,9855532987,True,,,2.0,,
"3BHK in Seawoods. 1750 sqft, 3.1Cr. High floor, sea view, premium amenities. Ready: 9866632987",3,1750.0,31000000.0,CR,,,Seawoods,,sale,9866632987,True,310.0,,3.0,2-5Cr,
"Shop in Vashi. 550 sqft, 80k rent. Prime location, good visibility. Established market. Contact: 9877732987",,550.0,,,80000.0,K,Vashi,,rent,9877732987,True,,80.0,,,60k-1L
"1BHK in Santacruz. 520 sqft, 38k rent. 3rd floor, semi-furnished. Near airport. Call: 9888832987",1,520.0,,,38000.0,K,Santacruz,,rent,9888832987,True,,38.0,1.0,,20-40k
"2BHK in Vile Parle. 780 sqft, 48k rent. Ground floor, separate entrance. Good for clinic. WhatsApp: 9899932987",2,780.0,,,48000.0,K,Vile Parle,,rent,9899932987,True,,48.0,2.0,,40-60k
"3BHK in Bandra. 1700 sqft, 2.4Cr sale. Renovated, modern kitchen, 3 bathrooms. Premium: 9812343987",3,1700.0,24000000.0,CR,,,Bandra,,sale,9812343987,True,240.0,,3.0,2-5Cr,
"Office in Andheri. 1300 sqft, 88k rent. IT park, modern facilities. Suitable for startup. Contact: 9823443987",,1300.0,,,88000.0,K,Andheri,,rent,9823443987,True,,88.0,,,60k-1L
"4BHK in Powai. 2900 sqft, 5.8Cr. Luxury apartment, all amenities. Premium society. Call: 9876543987",4,2900.0,58000000.0,CR,,,Powai,,sale,9876543987,True,580.0,,4.0,5Cr+,
"1RK in Lokhandwala. 420 sqft, 23k rent. Fully furnished, all utilities. Good for professionals. WhatsApp: 9898743987",1,420.0,,,23000.0,K,Lokhandwala,,rent,9898743987,True,,23.0,1.0,,20-40k
"2BHK in Kandivali. 880 sqft, 44k rent. 4th floor, park view. Family preferred. Contact: 9811143987",2,880.0,,,44000.0,K,Kandivali,,rent,9811143987,True,,44.0,2.0,,40-60k
"3BHK in Juhu. 2500 sqft, 4Cr sale. Beach facing, premium finishes. Exclusive location. Call: 9822243987",3,2500.0,40000000.0,CR,,,Juhu,,sale,9822243987,True,400.0,,3.0,2-5Cr,
"Commercial in Lower Parel. 1600 sqft, 1.05L rent. Premium building, all facilities. Corporate standards. WhatsApp: 9833343987",,1600.0,,,105000.0,L,Lower Parel,,rent,9833343987,True,,105.0,,,1L+
"2BHK in Malad. 920 sqft, 1.02Cr. 6 years old, good condition. Loan available. Contact: 9844443987",2,920.0,10200000.0,CR,,,Malad,,sale,9844443987,True,102.0,,2.0,1-2Cr,
"3BHK in Andheri. 1400 sqft, 75k rent. Fully furnished, modern appliances. Family only. Call: 9855543987",3,1400.0,,,75000.0,K,Andheri,,rent,9855543987,True,,75.0,3.0,,60k-1L
"1BHK in Thane. 670 sqft, 76L. Under construction, possession 9 months. RERA approved. Booking: 9866643987",1,670.0,,,,,Thane,,,9866643987,True,,,1.0,,
"Warehouse in Bhiwandi. 7000 sqft, 2.8L rent. G+1, heavy power, security. Industrial zone. Owner: 9877743987",,7000.0,,,280000.0,L,Bhiwandi,,rent,9877743987,True,,280.0,,,1L+
"4BHK in Worli. 3400 sqft, 9.2Cr. Sea facing, luxury amenities, 4 parking. Ultra premium. Agent: 9888843987",4,3400.0,92000000.0,CR,,,Worli,,sale,9888843987,True,920.0,,4.0,5Cr+,
"Retail in Bandra. 450 sqft, 85k rent. High street, good footfall. Established location. WhatsApp: 9899943987",,450.0,,,85000.0,K,Bandra,,rent,9899943987,True,,85.0,,,60k-1L
"2BHK in Goregaon. 970 sqft, 54k rent. 3rd floor, corner flat. Good society. Contact: 9812354987",2,970.0,,,54000.0,K,Goregaon,,rent,9812354987,True,,54.0,2.0,,40-60k
"3BHK in Chembur. 1280 sqft, 1.72Cr sale. Ready to move, well maintained. Near highway. Call: 9823454987",3,1280.0,17200000.0,CR,,,Chembur,,sale,9823454987,True,172.0,,3.0,1-2Cr,
"1BHK in Borivali. 640 sqft, 37k rent. 2nd floor, renovated. Good for family. WhatsApp: 9876554987",1,640.0,,,37000.0,K,Borivali,,rent,9876554987,True,,37.0,1.0,,20-40k
"3BHK service in South Mumbai. 1950 sqft, 1.7L rent. All inclusive, premium service. Minimum 1 year: 9898754987",3,1950.0,,,170000.0,L,,,rent,9898754987,True,,170.0,3.0,,1L+
"1RK PG in Andheri. 340 sqft, 17k with food. AC, attached bath, Wi-Fi. Professionals only. Contact: 9811154987",1,340.0,,,,,Andheri,,,9811154987,True,,,1.0,,
"2BHK auction in Panvel. 1080 sqft, 92L. Bank property, clear title. Good investment. WhatsApp: 9833354987",2,1080.0,,,,,,,,9833354987,True,,,2.0,,
"3BHK in Seawoods. 1780 sqft, 3.15Cr. High floor, sea view, premium amenities. Ready: 9844454987",3,1780.0,31500000.0,CR,,,Seawoods,,sale,9844454987,True,315.0,,3.0,2-5Cr,
"Shop in Vashi. 580 sqft, 82k rent. Prime location, good visibility. Established market. Contact: 9855554987",,580.0,,,82000.0,K,Vashi,,rent,9855554987,True,,82.0,,,60k-1L
"1BHK in Santacruz. 540 sqft, 39k rent. 4th floor, semi-furnished. Near airport. Call: 9866654987",1,540.0,,,39000.0,K,Santacruz,,rent,9866654987,True,,39.0,1.0,,20-40k
"2BHK in Vile Parle. 820 sqft, 50k rent. 1st floor, separate entrance. Good for office. WhatsApp: 9877754987",2,820.0,,,50000.0,K,Vile Parle,,rent,9877754987,True,,50.0,2.0,,40-60k
"3BHK in Bandra. 1750 sqft, 2.45Cr sale. Renovated, modern kitchen, 3 bathrooms. Premium: 9888854987",3,1750.0,24500000.0,CR,,,Bandra,,sale,9888854987,True,245.0,,3.0,2-5Cr,
"Office in Andheri. 1350 sqft, 92k rent. IT park, modern facilities. Suitable for IT company. Contact: 9899954987",,1350.0,,,92000.0,K,Andheri,,rent,9899954987,True,,92.0,,,60k-1L
"4BHK in Powai. 2950 sqft, 5.9Cr. Luxury apartment, all amenities. Premium society. Call: 9812365987",4,2950.0,59000000.0,CR,,,Powai,,sale,9812365987,True,590.0,,4.0,5Cr+,
"1RK in Lokhandwala. 440 sqft, 24k rent. Fully furnished, all utilities. Good for professionals. WhatsApp: 9823465987",1,440.0,,,24000.0,K,Lokhandwala,,rent,9823465987,True,,24.0,1.0,,20-40k
"2BHK in Kandivali. 900 sqft, 45k rent. 5th floor, park view. Family preferred. Contact: 9876565987",2,900.0,,,45000.0,K,Kandivali,,rent,9876565987,True,,45.0,2.0,,40-60k
